step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,fraud_likelihood_audio,fraud_likelihood_text,type_encoded
638,TRANSFER,263.4615936868349,C0039077,72184.04,0.0,C0013654,36635.86,36713.19,1,1,0.9735335927051165,0.6879494726340102,1
428,CASH_OUT,2668.34,C0035010,94467.19,91798.85,C0000209,92685.41,95353.75,0,1,0.1,0.1,2
560,CASH_IN,900.97,C0003269,96123.11,95222.14,C0003649,32103.18,33004.15,0,0,0.1,0.1,3
95,CASH_OUT,2008.27,C0006963,38861.27,36853.0,C0002282,26850.73,28859.0,0,1,0.1,0.1,2
563,CASH_OUT,3229.3,C0022771,21241.97,18012.670000000002,C0006689,94831.23,98060.53,0,1,0.1,0.1,2
69,CASH_OUT,310.95,C0005205,520.24,209.29000000000002,C0029956,92703.24,93014.19,0,1,0.1,0.1,2
622,CASH_OUT,2918.74,C0008030,52788.92,49870.18,C0028227,92751.14,95669.88,0,1,0.1,0.1,2
559,CASH_IN,417.48,C0002017,83896.08,83478.6,C0007030,30796.94,31214.42,0,0,0.1,0.1,3
146,PAYMENT,2775.64,C0026265,33988.96,31213.32,C0002202,64901.56,67677.2,0,0,0.1,0.1,0
371,CASH_IN,4587.08,C0022106,92519.52,87932.44,C0004180,68778.9,73365.98,0,0,0.1,0.1,3
117,CASH_IN,4315.19,C0030697,27265.98,22950.79,C0024492,37984.66,42299.850000000006,0,0,0.1,0.1,3
168,TRANSFER,1085.71,C0005859,70482.94,69397.23,C0021402,57900.58,58986.29,0,1,0.1,0.1,1
228,CASH_OUT,2022.03,C0009128,39382.27,37360.24,C0006555,91882.0,93904.03,0,1,0.1,0.1,2
360,PAYMENT,751.12,C0027949,11994.79,11243.67,C0001419,75436.49,76187.61,0,0,0.1,0.1,0
682,PAYMENT,847.7,C0015372,77311.75,76464.05,C0009879,27629.73,28477.43,0,0,0.1,0.1,0
565,TRANSFER,2026.58,C0010410,49658.77,47632.189999999995,C0004077,57186.54,59213.12,0,1,0.1,0.1,1
103,TRANSFER,1017.01,C0016115,16430.47,15413.460000000001,C0031110,57463.36,58480.37,0,1,0.1,0.1,1
466,DEBIT,981.58,C0032877,76853.15,75871.56999999999,C0002760,21048.16,22029.74,0,0,0.1,0.1,4
259,CASH_IN,2028.06,C0034381,55189.42,53161.36,C0020414,38623.0,40651.06,0,0,0.1,0.1,3
375,CASH_IN,682.19,C0036339,39754.57,39072.38,C0001557,75297.44,75979.63,0,0,0.1,0.1,3
439,CASH_IN,2291.99,C0025462,33704.04,31412.050000000003,C0007996,2314.09,4606.08,0,0,0.1,0.1,3
284,DEBIT,2028.7,C0015815,92049.9,90021.2,C0020913,57321.99,59350.689999999995,0,0,0.1,0.1,4
125,TRANSFER,883.12,C0010173,87875.04,86991.92,C0034903,2625.68,3508.7999999999997,0,1,0.1,0.1,1
376,CASH_OUT,2331.51,C0028706,19603.98,17272.47,C0025836,38739.73,41071.240000000005,0,1,0.1,0.1,2
11,DEBIT,5163.14,C0031532,62850.96,57687.82,C0022645,89565.65,94728.79,0,0,0.1,0.1,4
732,DEBIT,176.34,C0014720,38549.17,38372.83,C0010502,54945.95,55122.28999999999,0,0,0.1,0.1,4
590,DEBIT,2211.91,C0024431,79933.13,77721.22,C0016962,88013.4,90225.31,0,0,0.1,0.1,4
469,TRANSFER,5961.85,C0032702,23115.46,17153.61,C0020925,53611.65,59573.5,0,1,0.1,0.1,1
242,CASH_OUT,3537.81,C0004212,73622.08,70084.27,C0023577,42336.15,45873.96,0,1,0.1,0.1,2
375,PAYMENT,2554.65,C0004836,13168.1,10613.45,C0033743,34385.02,36939.67,0,0,0.1,0.1,0
438,PAYMENT,46.9,C0014564,7047.56,7000.660000000001,C0002998,91535.25,91582.15,0,0,0.1,0.1,0
209,CASH_OUT,2240.724390550938,C0009639,89852.51,0.0,C0021429,43902.34,44235.35,1,1,0.8407389825498444,0.6373324600259005,2
339,TRANSFER,4126.67,C0035201,88018.22,83891.55,C0024339,58064.85,62191.52,0,1,0.1,0.1,1
725,DEBIT,2427.47,C0006446,10290.72,7863.25,C0003527,27281.36,29708.83,0,0,0.1,0.1,4
667,DEBIT,637.71,C0002719,95982.09,95344.37999999999,C0023201,59357.49,59995.2,0,0,0.1,0.1,4
608,TRANSFER,5188.28,C0018436,52149.22,46960.94,C0006235,17938.59,23126.87,0,1,0.1,0.1,1
314,CASH_IN,1059.65,C0007055,93663.67,92604.02,C0035616,56647.07,57706.72,0,0,0.1,0.1,3
628,PAYMENT,25.07,C0007649,74430.67,74405.59999999999,C0023288,57992.12,58017.19,0,0,0.1,0.1,0
34,CASH_IN,502.64,C0034160,5860.2,5357.5599999999995,C0006224,3962.87,4465.51,0,0,0.1,0.1,3
450,CASH_OUT,956.74,C0020913,29408.8,28452.059999999998,C0039461,71271.63,72228.37000000001,0,1,0.1,0.1,2
625,TRANSFER,606.4908876879182,C0036973,44988.48,0.0,C0035677,71297.19,71368.72,1,1,0.9050664431030393,0.8702955986455866,1
339,PAYMENT,6722.92,C0036845,12105.29,5382.370000000001,C0031575,81679.54,88402.45999999999,0,0,0.1,0.1,0
154,CASH_OUT,1093.48,C0016864,53457.27,52363.78999999999,C0005428,19882.46,20975.94,0,1,0.1,0.1,2
6,TRANSFER,3130.94,C0015072,89662.9,86531.95999999999,C0000559,97225.69,100356.63,0,1,0.1,0.1,1
363,CASH_OUT,2405.75,C0019922,87906.56,85500.81,C0029418,8961.31,11367.06,0,1,0.1,0.1,2
559,TRANSFER,599.24,C0019028,97598.75,96999.51,C0019813,98243.47,98842.71,0,1,0.1,0.1,1
5,PAYMENT,191.05,C0018963,28084.61,27893.56,C0024348,16708.5,16899.55,0,0,0.1,0.1,0
630,CASH_IN,62.36,C0008800,25143.22,25080.86,C0001535,33795.36,33857.72,0,0,0.1,0.1,3
452,CASH_IN,2920.31,C0027696,48713.97,45793.66,C0031265,34076.21,36996.52,0,0,0.1,0.1,3
173,DEBIT,900.93,C0018742,83790.95,82890.02,C0008901,27425.26,28326.19,0,0,0.1,0.1,4
488,TRANSFER,1373.91,C0015255,3008.53,1634.6200000000001,C0013988,31825.93,33199.840000000004,0,1,0.1,0.1,1
581,CASH_OUT,4173.16,C0013186,66751.54,62578.37999999999,C0016827,87220.63,91393.79000000001,0,1,0.1,0.1,2
468,DEBIT,1338.16,C0024611,31088.97,29750.81,C0024588,32181.97,33520.130000000005,0,0,0.1,0.1,4
439,DEBIT,70.95,C0023255,23127.37,23056.42,C0039329,19964.58,20035.530000000002,0,0,0.1,0.1,4
446,PAYMENT,1569.41,C0035147,16813.99,15244.580000000002,C0020792,44649.63,46219.04,0,0,0.1,0.1,0
